pais,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brazil,37189369,37903171,38624425,39347719,40082479,40839223,41616571,42413359,43214753,44044231,44928342,45855507,46821845,47822569,48856332,49925799,51020296,52106681,53210119,54360750,55569264,56837614,58173834,59605446,61157931,62851312,64658315,66589655,68633344,70750307,72951439,75175387,77388067,79351586,81337553,83585251,85804185,88044187,90351467,92744064,95214257,97685360,100182045,102775465,105456121,108187610,110956183,113791181,116690527,119695565,122851984,126152678,129583026,133119801,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,223804632
China,543979233,553613988,564954522,577378682,589936004,603320147,616283022,630003025,643791581,652179194,654170692,655260380,664614650,683903557,704593772,723846349,742948541,761006260,780371956,801430976,822534450,843285424,862840403,881652080,899367640,915124661,929375924,942581333,955138943,968298969,982372466,997259502,1013483166,1029226907,1044172197,1060239979,1077770523,1096851843,1115889802,1134414723,1153704252,1170626171,1183813389,1195855558,1207286675,1218144426,1228298836,1237801448,1246836105,1255433236,1264099069,1272739582,1280926120,1288873367,1296816711,1304887562,1313086567,1321513224,1330167148,1339125595,1348191368,1357095481,1366560818,1376100308,1385189668,1393715448,1401889681,1410275957,1417069468,1421864031,1424929781,1425893465,1425887337,1425671352
India,357021100,364922360,372997188,381227705,389731406,398577992,407656597,416935399,426295763,435900352,445954579,456351876,467024193,477933619,489059309,500114346,510992617,521987069,533431909,545314670,557501301,569999178,582837973,596107483,609721951,623524219,637451448,651685628,666267760,681248383,696828385,712869298,729169466,745826546,762895156,780242084,797878993,815716125,833729681,852012673,870452165,888941756,907574049,926351297,945261958,964279129,983281218,1002335230,1021434576,1040500054,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663
Russia,102580107,104151680,105790045,107493129,109221068,110971852,112783329,114590996,116373652,118076840,119735095,121408978,122914605,124227725,125394235,126400607,127293948,128111727,128822373,129489455,130093010,130719659,131456435,132191634,132970443,133841842,134764462,135712068,136659133,137510309,138257420,139002880,139848005,140854123,141892552,142896392,144046482,145312019,146464378,147341508,148005704,148455402,148725601,148897270,148829113,148557451,148233411,147939972,147672728,147336388,146844839,146235530,145590136,144946723,144353636,143800049,143338669,143117693,143086549,143163643,143242599,143364543,143629362,143956866,144285070,144668389,145109157,145452536,145652293,145742286,145617329,145102755,144713314,144444359
South Africa,13043844,13325058,13622914,13933246,14255876,14594129,14948934,15320138,15700877,16096455,16520441,16989464,17503133,18042215,18603097,19187194,19789771,20410677,21050540,21704214,22368306,23031441,23698507,24382513,25077016,25777964,26480300,27199838,27943445,28697014,29463549,30232561,31022417,31865176,32768207,33752964,34877834,36119333,37393853,38668684,39877570,40910959,41760755,42525440,43267982,43986084,44661603,45285048,45852166,46364681,46813266,47229714,47661514,48104048,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885,60414495
