Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
29,2022.0,700,468,7371,2,1,30,2,8,8.1,5389,596,4,6,4,5,36800.0
46,2011.0,26,474,1704,2,1,30,2,8,8.2,12917,371,4,7,4,5,13999.0
70,2023.0,687,32,8560,1,1,30,1,7,8.9,3155,126,4,6,4,7,56887.0
29,2014.0,423,586,2930,2,1,35,4,1,9.0,4787,730,4,9,4,8,19888.0
69,2014.0,758,226,3196,2,1,23,2,8,6.3,5105,274,4,3,5,5,8995.0
69,2016.0,442,468,4266,2,1,67,2,8,10.4,2588,314,6,6,4,7,31900.0
50,2013.0,457,474,2561,2,1,30,2,8,7.2,3951,314,4,7,4,5,14995.0
65,2016.0,754,468,4225,2,1,30,1,8,7.1,375,314,4,6,4,5,22990.0
49,2017.0,229,226,4708,2,1,30,2,7,5.5,11734,791,4,3,5,5,31990.0
53,2015.0,33,360,3649,2,1,0,3,8,7.663150894460331,4039,596,0,3,0,0,12999.0
27,2010.0,225,569,1347,2,2,99,4,8,14.5,4143,48,8,8,2,2,25999.0
29,2015.0,406,226,3409,2,1,24,2,8,5.9,831,558,4,3,5,5,13990.0
46,2018.0,142,569,5325,2,1,52,4,1,9.3,13809,729,5,8,4,5,30990.0
46,2009.0,26,474,1132,2,1,30,2,8,8.2,4565,48,4,7,4,5,8499.0
29,2011.0,406,226,1651,2,1,24,2,8,6.4,4964,136,4,3,5,5,10995.0
28,2015.0,721,553,3404,2,1,0,3,8,7.663150894460331,11617,289,0,9,0,0,24888.0
46,2010.0,189,468,1419,2,1,33,1,8,11.5,3308,109,4,6,4,5,11669.0
36,2017.0,609,468,4549,2,1,24,2,7,5.9,11455,314,4,6,4,5,24950.0
46,2013.0,78,474,2503,2,1,35,2,8,6.6,1672,596,4,7,4,5,16990.0
51,2009.0,284,524,1167,2,1,0,4,8,7.663150894460331,236,693,0,9,0,0,19995.0
37,2013.0,387,586,2466,2,1,67,2,8,10.9,13914,596,6,9,4,8,13995.0
50,2015.0,457,474,3583,2,1,30,2,8,7.2,10747,314,4,7,4,5,17995.0
65,2018.0,424,226,5512,2,1,30,1,8,6.6,10715,289,4,3,5,5,22990.0
46,2014.0,26,226,3005,2,1,30,2,8,8.2,2176,441,4,3,5,5,16999.0
4,2021.0,739,468,6774,2,1,30,1,8,7.3,7841,289,4,6,5,5,79988.0
46,2010.0,189,468,1419,2,1,33,1,8,11.5,4408,430,4,6,4,5,12800.0
3,2015.0,104,160,3242,2,1,30,1,7,6.7,1080,314,4,2,2,4,26880.0
4,2014.0,3,226,2774,2,1,26,4,7,5.8,10272,649,4,3,5,5,16990.0
69,2013.0,401,381,2679,2,1,0,3,1,7.663150894460331,5075,516,0,0,0,0,30900.0
3,2014.0,575,468,2768,2,1,85,1,1,9.2,5397,48,8,6,4,7,28999.0
66,2015.0,210,226,3694,2,1,15,2,8,4.8,6461,136,3,3,5,4,13880.0
65,2016.0,467,474,4219,2,1,68,1,7,9.9,6244,596,6,7,4,5,17950.0
69,2019.0,150,468,6127,2,2,22,2,7,5.4,10388,791,4,6,4,5,33888.0
65,2021.0,321,468,7080,2,1,35,1,8,7.4,3757,498,4,6,4,5,39990.0
46,2015.0,185,468,3538,2,1,30,1,8,6.7,7855,596,4,6,4,5,23950.0
36,2018.0,387,468,5207,2,1,62,0,1,7.5,12052,649,6,6,4,5,41950.0
29,2018.0,408,226,5144,2,1,30,2,8,7.4,10880,516,4,3,4,5,21999.0
51,2020.0,732,468,6553,2,1,35,2,8,7.9,9758,289,4,6,4,5,27990.0
28,2010.0,215,474,1358,2,1,25,2,8,6.6,2951,48,4,7,4,5,8950.0
28,2020.0,181,468,6324,2,1,25,2,8,7.3,8243,314,4,6,4,7,37880.0
27,2014.0,241,226,2872,2,2,26,2,8,7.4,3843,430,4,3,5,5,7950.0
36,2013.0,387,468,2454,2,1,68,4,7,10.1,11436,314,6,6,4,5,24990.0
69,2007.0,583,468,814,2,1,34,0,8,9.6,505,558,4,6,4,5,14999.0
27,2016.0,225,474,3903,2,1,62,4,8,8.3,10561,440,6,7,4,5,22999.0
48,2010.0,171,160,1427,2,1,28,4,7,9.0,4538,498,4,2,2,4,7999.0
15,2012.0,434,360,1915,2,1,0,3,8,7.663150894460331,3012,596,0,9,0,0,10999.0
46,2013.0,78,474,2501,2,1,35,2,8,6.6,445,649,4,7,4,5,19999.0
70,2018.0,195,153,5617,2,1,24,2,7,6.0,12961,596,4,0,3,2,30999.0
28,2013.0,216,474,2414,2,1,28,2,8,6.7,3388,498,4,7,4,5,15990.0
36,2021.0,226,468,6869,2,1,34,2,8,7.9,5688,649,4,6,4,5,32888.0
69,2008.0,401,381,1007,2,1,0,3,8,7.663150894460331,920,649,0,0,0,0,31900.0
46,2014.0,191,185,3022,2,1,0,3,0,7.663150894460331,13834,205,0,9,0,0,22999.0
69,2010.0,758,226,1545,2,1,23,2,8,6.5,3014,596,4,3,5,5,10995.0
36,2014.0,387,468,2955,2,1,62,0,1,7.5,1014,314,6,6,4,5,29990.0
46,2009.0,26,226,1135,2,2,35,2,8,8.6,3316,430,4,3,5,5,13950.0
19,2016.0,605,569,3874,2,1,52,0,1,9.0,13918,136,5,8,4,5,36999.0
27,2011.0,201,59,1622,2,1,0,3,1,7.663150894460331,4796,596,0,9,0,0,9990.0
69,2013.0,91,160,2663,2,1,30,4,7,7.1,280,422,4,2,2,4,24990.0
70,2013.0,385,226,2721,2,1,24,2,7,5.2,1813,260,4,3,5,5,13990.0
50,2013.0,457,226,2562,2,1,30,2,8,7.3,11803,314,4,3,5,5,16990.0
69,2009.0,199,474,1213,2,1,34,2,8,9.9,3429,649,4,7,4,5,10995.0
29,2013.0,406,226,2423,2,1,24,2,8,6.4,1614,314,4,3,5,5,12990.0
50,2014.0,457,226,3064,2,1,34,2,8,8.9,9050,516,4,3,5,5,18990.0
46,2018.0,13,226,5301,2,1,25,2,8,4.9,7247,545,4,3,5,5,23999.0
46,2009.0,26,226,1133,2,1,30,2,8,8.2,11587,596,4,3,5,5,14995.0
50,2014.0,698,569,3080,2,1,35,0,1,9.3,5912,596,4,8,4,5,18995.0
70,2014.0,385,226,3216,2,1,24,2,7,5.4,3424,61,4,3,5,5,14990.0
4,2012.0,469,226,1900,2,1,62,4,7,7.5,11318,329,6,3,5,5,29950.0
27,2015.0,225,586,3376,2,1,68,4,8,9.8,2260,649,6,9,4,5,22999.0
